player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
442,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Pope,6,0,0,11,0,0,0,0,0,0,0,0,,,,
443,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Gillespie,,0,0,0,0,0,0,0,0,0,0,0,,,,
444,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Jaouen,6.5,0,0,4,0,0,0,0,0,0,0,0,,,,
446,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Schär,6.6,7,0,60,11,0,0,2,0,0,0,0,,,,
449,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Hall,6.2,15,0,66,4,2,0,5,0,0,0,0,,,,
451,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,A.Murphy,7,6,0,71,7,0,0,2,1,0,0,0,,,,
453,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Barnes,6.1,13,1,37,0,0,3,6,0,0,0,0,,,,
456,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,J.Ramsey,6.8,10,0,52,1,0,0,2,0,0,0,0,,,,
457,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,J.Murphy,6.4,15,1,31,0,5,2,5,0,0,0,0,,,,
460,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Willock,6.6,11,1,50,2,0,2,4,0,0,0,0,,,,
462,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Steur,7.2,8,1,88,2,2,0,3,1,0,0,0,,,,
466,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,Neave,6.8,4,0,5,0,0,2,4,1,0,0,0,,,,
260,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,Wilson,,0,0,0,0,0,0,0,0,0,0,0,,,,
329,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,Rodon,,0,0,0,0,0,0,0,0,0,0,0,,,,
330,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,Bogle,,0,0,0,0,0,0,0,0,0,0,0,,,,
332,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,Justin,,0,0,0,0,0,0,0,0,0,0,0,,,,
335,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,Stach,,0,0,0,0,0,0,0,0,0,0,0,,,,
338,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,Ampadu,,0,0,0,0,0,0,0,0,0,0,0,,,,
